trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.9710599800591,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-234.87404027786573,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9}",30,0,-89.58387567629781,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",25,0,-126.33638559790958,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,0,-93.95812475727438,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-218.88097455500755,"{0: 10, 1: 2, 2: 8, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-98.15687699203959,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-148.3011563601737,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6}",25,0,-165.67344943966566,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.55}",25,0,-44.70596806135543,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-49.89082089482649,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-96.5281817202344,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,-135.10990210308898,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,8,-45.126841810228676,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,0,-1.1673148252272856,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,0,-54.286052524441075,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,-76.28768684052797,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,7,1.3816168976962078,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,0,-79.16930866340789,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,32.45423751443332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-116.12696452785738,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-156.57047897881358,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,8,22.966103062892262,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,17,-8.340169070727804,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-47.660745918806555,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-41.93898656830795,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-116.4794388417332,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-29.36001071151478,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,23.052476170827838,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,2.758517708268445,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
