trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.999000499833375}",35,0,-187.82986802334946,"{0: 19, 1: 2, 2: 12, 3: 0, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9980019986673331}",20,0,-113.09166185430345,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.997004495503373}",30,0,-212.7704668535782,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9960079893439915}",20,0,-141.95033418179412,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.9950124791926823}",20,0,-56.137604065079785,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9940179640539353}",20,0,-48.02601733378237,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9930244429332351}",20,0,-71.07124799646006,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9920319148370607}",25,0,-131.14221173059585,"{0: 11, 1: 3, 2: 9, 3: 2, 4: 0}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9910403787728836}",30,0,-220.6600243778285,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9900498337491681}",25,7,-29.80654738454161,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.9890602787753687}",20,0,-114.99135297137596,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.9880717128619305}",25,0,-187.69706370366347,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.9870841350202876}",20,0,-88.07891060039023,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.9860975442628619}",25,0,-112.92982833515563,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.9851119396030626}",20,0,-108.46249299051988,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.9841273200552851}",20,0,-136.20467031262157,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.9831436846349096}",35,0,-208.11858378771052,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.9821610323583008}",25,10,-19.1351719507345,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.981179362242806, 'e': 0.981179362242806}",20,0,-128.42227838704534,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.9801986733067553}",20,0,-51.411517399321696,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.9792189645694596}",20,0,-166.6657167028937,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.97824023505121, 'e': 0.97824023505121}",30,14,-76.6881537298057,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.9772624837732771, 'e': 0.9772624837732771}",25,0,-222.8184618898479,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.9762857097579093}",20,0,-106.51619151128394,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.9753099120283326, 'e': 0.9753099120283326}",20,0,-18.307492582290287,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.9743350896087494, 'e': 0.9743350896087494}",25,0,-31.713366581213116,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.9733612415243368, 'e': 0.9733612415243368}",20,2,-8.97734215501063,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.9723883668012469, 'e': 0.9723883668012469}",20,0,-150.55881167432543,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.9714164644666048, 'e': 0.9714164644666048}",30,8,-40.28331751686209,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
30,False,"{'a': 0.9704455335485082, 'e': 0.9704455335485082}",20,0,-80.0834506725486,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.9694755730760259}",30,0,-107.67145814925745,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.9685065820791976, 'e': 0.9685065820791976}",25,0,-194.10591816340647,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.967538559589032, 'e': 0.967538559589032}",30,0,-137.23522401439905,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.9665715046375066, 'e': 0.9665715046375066}",30,0,-163.28969062571366,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
35,False,"{'a': 0.9656054162575665, 'e': 0.9656054162575665}",25,0,-196.27093013792108,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
36,False,"{'a': 0.9646402934831231, 'e': 0.9646402934831231}",20,0,-65.38008202796632,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.9636761353490535}",20,0,-72.32712410584202,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
38,False,"{'a': 0.9627129408911995, 'e': 0.9627129408911995}",20,0,-134.8459412096893,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
39,False,"{'a': 0.9617507091463667, 'e': 0.9617507091463667}",25,0,-161.2166388858291,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.9607894391523232, 'e': 0.9607894391523232}",20,0,-35.83684518998583,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.9598291299477989}",30,0,-127.63514030827342,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.9588697805724845}",35,2,-96.01774647366372,"{0: 24, 1: 3, 2: 4, 3: 0, 4: 2}",1
