trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1}",20,0,-62.54150993283459,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
2,False,"{'a': 1, 'e': 1}",35,0,-186.60274054762945,"{0: 19, 1: 6, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 1, 'e': 1}",20,0,-101.16849967980835,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 1, 'e': 1}",25,0,-49.74145147854195,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 1, 'e': 1}",30,0,-97.36114305495009,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 1, 'e': 1}",20,0,-97.09758755139269,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 1, 'e': 1}",20,0,-93.05621160406147,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 1, 'e': 1}",25,0,-186.87963757890904,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 1, 'e': 1}",30,0,-136.35654515067995,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 1, 'e': 1}",20,0,-59.17736852630227,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 1, 'e': 1}",20,0,-93.1759386362971,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 1, 'e': 1}",30,0,-277.5076391252619,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 6}",0
13,False,"{'a': 1, 'e': 1}",30,0,-222.69931863069345,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 1, 'e': 1}",20,0,-160.74523832909892,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 1, 'e': 1}",35,0,-224.61045608437738,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",1
16,False,"{'a': 1, 'e': 1}",25,0,-116.13024585183683,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 1, 'e': 1}",25,0,-204.38482483430454,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 1, 'e': 1}",20,0,-181.96680124488034,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 1, 'e': 1}",30,0,-17.891551712104828,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 1, 'e': 1}",30,0,-240.96752802542838,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-184.66276528135225,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,13,-41.90846041335012,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-116.5910183914485,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-147.6158741049449,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-104.5391229608679,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-138.53558540422392,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-96.70183246806941,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-218.85323436288465,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",25,0,-125.48840669019465,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-145.4129634877857,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,True,"{'a': 0, 'e': 0}",25,0,-228.4711051485744,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
12,True,"{'a': 0, 'e': 0}",25,0,-156.57349323830604,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,True,"{'a': 0, 'e': 0}",20,0,-112.5599972801068,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",30,4,-142.65601890738225,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 2}",1
15,True,"{'a': 0, 'e': 0}",25,0,-106.99003582514798,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",30,0,-145.56084050008604,"{0: 20, 1: 2, 2: 3, 3: 4, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",20,0,-180.04146970477163,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
18,True,"{'a': 0, 'e': 0}",20,0,-25.877252292604645,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",25,0,-45.591806256021215,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,0,-86.50746100829637,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",20,0,-127.79799688926244,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
22,True,"{'a': 0, 'e': 0}",30,0,-133.8907055758014,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,True,"{'a': 0, 'e': 0}",25,0,-179.62597945340312,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
24,True,"{'a': 0, 'e': 0}",20,0,-131.7094876549215,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,True,"{'a': 0, 'e': 0}",20,0,-152.5615571177717,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
26,True,"{'a': 0, 'e': 0}",25,0,-246.92518747563562,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
27,True,"{'a': 0, 'e': 0}",20,0,-49.444230646199784,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",20,0,-63.524194125410304,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",25,0,-128.5919980191005,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,True,"{'a': 0, 'e': 0}",20,0,-144.11896868273865,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
31,True,"{'a': 0, 'e': 0}",30,0,-127.18967824343277,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
32,True,"{'a': 0, 'e': 0}",25,0,-184.64013865850055,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
33,True,"{'a': 0, 'e': 0}",20,0,-48.52983025304312,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",35,0,-118.69281149905594,"{0: 22, 1: 4, 2: 6, 3: 3, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",25,0,-158.71036038610734,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
36,True,"{'a': 0, 'e': 0}",20,0,-106.55946640764395,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
37,True,"{'a': 0, 'e': 0}",25,0,-42.64913031705805,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
38,True,"{'a': 0, 'e': 0}",30,0,-240.47865040512426,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
39,True,"{'a': 0, 'e': 0}",25,0,-70.05431550016185,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
40,True,"{'a': 0, 'e': 0}",20,0,-140.8913859684771,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
41,True,"{'a': 0, 'e': 0}",20,0,-108.39085754958916,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",30,0,-209.67872882746894,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
43,True,"{'a': 0, 'e': 0}",20,0,-118.5963558503031,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
44,True,"{'a': 0, 'e': 0}",20,0,-75.82981291726587,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",30,0,-256.7096902477922,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
46,True,"{'a': 0, 'e': 0}",25,0,-153.36866947896877,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
47,True,"{'a': 0, 'e': 0}",25,0,-157.74250600597807,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
48,True,"{'a': 0, 'e': 0}",20,0,-154.29243157267405,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
49,True,"{'a': 0, 'e': 0}",20,0,-85.9309373783645,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
50,True,"{'a': 0, 'e': 0}",25,0,-104.03910145983518,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
